Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,TSLA,META,AVGO,ASML,PEP,COST,ADBE,AZN,CSCO,NFLX,AMD,CMCSA,TMUS,TXN,QCOM,HON,INTU,INTC,AMGN,SBUX,ISRG,AMAT,BKNG,ADI,MDLZ,PDD,GILD,ADP,VRTX,ABNB,LRCX,PYPL,REGN,PANW,MU,CSX,SNPS,CDNS,KLAC,ORLY,FTNT,WDAY,MNST,MAR
2021-06-23,131.79954528808594,259.5250549316406,126.46150207519531,122.12699890136719,175.1909942626953,190.25318908691406,218.85667419433594,340.5899963378906,438.05767822265625,664.6296997070312,135.29083251953125,385.0925598144531,574.22998046875,55.02128982543945,48.95856475830078,512.739990234375,83.81999969482422,52.05094528198242,144.39964294433594,173.43482971191406,128.1151123046875,204.06719970703125,471.09423828125,51.246490478515625,220.08782958984375,105.86176300048828,301.8066711425781,132.56532287597656,2246.280029296875,156.32667541503906,58.889007568359375,121.61000061035156,60.695343017578125,185.64866638183594,187.52000427246094,151.5800018310547,606.8701171875,288.1199951171875,529.7999877929688,122.79666900634766,77.78669738769531,30.560932159423828,268.8599853515625,133.0,301.4441223144531,549.8499755859375,48.012001037597656,238.69000244140625,45.154998779296875,138.77352905273438
2021-06-24,131.51364135742188,260.91436767578125,127.28199768066406,122.5,172.45399475097656,191.73321533203125,226.60667419433594,343.17999267578125,441.2493591308594,677.6463623046875,136.05673217773438,385.1907653808594,578.260009765625,55.4388427734375,48.97712707519531,518.0599975585938,86.0999984741211,52.595096588134766,144.96717834472656,175.7740020751953,130.38397216796875,206.94766235351562,475.0611267089844,51.99766159057617,222.153076171875,106.26980590820312,301.5233459472656,135.26553344726562,2246.22998046875,159.58445739746094,59.191349029541016,127.72000122070312,61.17799377441406,186.45693969726562,191.94000244140625,150.72999572753906,617.3699340820312,293.2099914550781,544.4500122070312,124.19999694824219,79.32235717773438,30.719125747680664,273.79998779296875,135.02000427246094,306.32177734375,549.6199951171875,47.99800109863281,241.7100067138672,45.06999969482422,138.4686279296875
2021-06-25,131.21792602539062,259.280517578125,126.99500274658203,122.50849914550781,170.072998046875,189.99111938476562,223.9566650390625,341.3699951171875,433.8711242675781,669.0757446289062,136.74789428710938,387.5879821777344,579.6599731445312,56.32137680053711,49.23695373535156,527.0700073242188,85.62000274658203,52.93284225463867,144.7082977294922,175.36395263671875,130.1287078857422,207.94586181640625,478.4768371582031,51.84927749633789,223.74810791015625,107.26618194580078,302.7833251953125,133.24038696289062,2281.659912109375,160.17681884765625,59.69207763671875,127.5999984741211,61.81544876098633,187.67413330078125,194.33999633789062,149.6699981689453,612.9171142578125,289.6000061035156,550.5499877929688,125.19000244140625,80.74971008300781,30.964494705200195,268.9700012207031,134.75999450683594,306.6805725097656,557.1599731445312,48.40599822998047,243.0,46.060001373291016,137.82936096191406
2021-06-28,132.86415100097656,262.9004211425781,126.81950378417969,122.53600311279297,172.1945037841797,199.51513671875,229.57333374023438,355.6400146484375,443.8213806152344,686.52880859375,137.33633422851562,389.58233642578125,588.7999877929688,57.004634857177734,49.1441535949707,533.030029296875,87.08000183105469,52.63262176513672,144.4095916748047,178.49526977539062,132.08560180664062,206.09207153320312,479.3626403808594,53.30525207519531,223.89564514160156,106.50703430175781,304.13665771484375,137.93641662597656,2204.550048828125,162.95692443847656,59.701534271240234,124.91000366210938,61.651527404785156,186.97991943359375,197.82000732421875,149.94000244140625,628.9780883789062,293.6499938964844,542.7000122070312,126.15666961669922,82.07865142822266,30.774011611938477,274.0299987792969,137.10000610351562,312.49884033203125,561.5700073242188,49.40800094604492,242.91000366210938,45.72999954223633,133.62974548339844
2021-06-29,134.39215087890625,265.5223083496094,126.01850128173828,122.27249908447266,172.40699768066406,199.9319305419922,226.9199981689453,351.8900146484375,447.9047546386719,686.109619140625,137.24290466308594,391.79290771484375,590.75,57.10902404785156,49.09775924682617,533.5,89.5199966430664,53.0454216003418,144.35983276367188,179.75340270996094,134.8271484375,205.2935333251953,483.70361328125,52.62826919555664,223.54530334472656,106.53550720214844,306.90667724609375,138.8462677001953,2172.18994140625,163.74984741210938,59.19353485107422,133.5500030517578,61.86098098754883,187.92137145996094,196.77999877929688,146.0800018310547,633.6737670898438,292.760009765625,545.97998046875,125.22333526611328,81.63567352294922,30.567384719848633,276.17999267578125,138.35000610351562,315.3497619628906,564.969970703125,48.64799880981445,246.38999938964844,45.779998779296875,132.77407836914062
2021-06-30,135.01319885253906,265.033203125,125.31600189208984,122.0895004272461,172.00799560546875,199.68983459472656,226.56666564941406,347.7099914550781,447.61376953125,673.5902099609375,138.39175415039062,388.7276306152344,585.6400146484375,56.84331512451172,49.1812744140625,528.2100219726562,93.93000030517578,53.495765686035156,144.2005157470703,179.21290588378906,135.12020874023438,208.52572631835938,482.49285888671875,52.06257247924805,224.73464965820312,106.0989990234375,306.5466613769531,139.31585693359375,2188.090087890625,164.4759521484375,59.288482666015625,127.0199966430664,62.707881927490234,188.8722686767578,201.6300048828125,153.13999938964844,632.6140747070312,291.4800109863281,558.5399780273438,123.68333435058594,83.6536865234375,31.071035385131836,275.7900085449219,136.82000732421875,314.3897399902344,566.2100219726562,47.63800048828125,238.74000549316406,45.67499923706055,134.26904296875
2021-07-01,135.31878662109375,265.718017578125,126.36849975585938,122.44450378417969,171.64849853515625,201.7813262939453,225.97332763671875,354.3900146484375,440.8551025390625,662.3480834960938,138.41978454589844,387.60760498046875,584.72998046875,57.232391357421875,49.58957290649414,533.5399780273438,93.30999755859375,54.18063735961914,144.7082977294922,177.85223388671875,133.10658264160156,209.73309326171875,483.35906982421875,51.942020416259766,227.63893127441406,107.6172866821289,309.1533203125,134.96226501464844,2210.02001953125,161.619384765625,59.31697463989258,121.83999633789062,62.953765869140625,190.00387573242188,202.2100067138672,153.0800018310547,615.47412109375,289.0,574.6199951171875,123.5633316040039,78.85968780517578,31.26474380493164,277.1099853515625,136.92999267578125,302.29742431640625,575.3800048828125,48.46799850463867,235.50999450683594,45.57500076293945,136.94419860839844
2021-07-02,137.9705352783203,271.636962890625,128.718994140625,125.25749969482422,175.5489959716797,204.52671813964844,226.3000030517578,354.70001220703125,439.4751281738281,670.3726806640625,139.08290100097656,391.94024658203125,593.0700073242188,57.687896728515625,50.02874755859375,533.97998046875,94.69999694824219,54.809226989746094,145.65415954589844,179.12905883789062,134.78933715820312,210.39854431152344,489.8459167480469,52.63754653930664,229.29849243164062,109.09759521484375,312.7200012207031,135.167724609375,2238.889892578125,163.05245971679688,59.440406799316406,119.19999694824219,63.108585357666016,191.5919189453125,200.5399932861328,150.22999572753906,613.889404296875,290.239990234375,583.6400146484375,124.27333068847656,79.07624816894531,31.55531120300293,279.1600036621094,137.94000244140625,302.3750305175781,581.8800048828125,49.608001708984375,238.3000030517578,45.43000030517578,138.93087768554688
2021-07-06,140.00125122070312,271.6467590332031,129.77099609375,126.19000244140625,183.78700256347656,206.63815307617188,219.86000061035156,352.7799987792969,444.27197265625,668.7443237304688,139.2884063720703,391.8616027832031,596.9000244140625,56.84331512451172,49.50547790527344,541.6400146484375,94.47000122070312,54.328697204589844,146.11216735839844,178.187744140625,133.47531127929688,207.7747344970703,493.1236877441406,52.016204833984375,224.64244079589844,109.81877899169922,316.0133361816406,133.81759643554688,2222.320068359375,160.80734252929688,59.19353485107422,113.0999984741211,62.298099517822266,191.2400665283203,200.0500030517578,148.3699951171875,604.6146240234375,292.6400146484375,582.25,130.63333129882812,79.81454467773438,31.380970001220703,279.2900085449219,138.6699981689453,301.8223571777344,580.1799926757812,50.22999954223633,238.5500030517578,45.30500030517578,137.8195343017578
2021-07-07,142.51499938964844,273.86761474609375,130.07749938964844,126.4739990234375,184.82899475097656,203.3761444091797,214.88333129882812,350.489990234375,440.76116943359375,672.9466552734375,139.9048309326172,397.5794982910156,605.77001953125,56.710453033447266,49.7671012878418,535.9600219726562,90.54000091552734,54.80923080444336,147.3965606689453,176.8643798828125,132.32196044921875,209.84716796875,498.16357421875,51.895652770996094,224.24600219726562,111.15676879882812,318.2300109863281,131.94895935058594,2166.77001953125,158.0463104248047,59.867698669433594,110.29000091552734,62.252567291259766,193.36062622070312,198.99000549316406,143.72000122070312,596.5355834960938,297.1300048828125,585.9000244140625,128.99667358398438,76.99919128417969,31.942729949951172,279.8599853515625,139.10000610351562,297.75921630859375,585.0999755859375,50.66600036621094,238.64999389648438,45.41999816894531,137.30809020996094
